ID	Swage Depth Before	Swage Depth After	Tension Before	Tension After	Length Before	Length After
MSU24346	0.541	0.531	340.41	361.38	1,624.57	1,624.80
MSU24134	0.543	0.528	337.97	356.20	1,624.47	1,624.70
MSU24204	0.541	0.528	333.05	348.59	1,624.57	1,624.79
MSU24516	0.542	0.527	347.85	366.54	1,624.64	1,624.75
MSU23688	0.551	0.530	337.97	358.76	1,624.50	1,624.69
MSU23918	0.547	0.529	330.64	353.63	1,624.42	1,624.68
MSU23930	0.542	0.530	337.97	356.23	1,624.60	1,624.78
MSU23937	0.544	0.529	342.86	363.96	1,624.55	1,624.78
MSU24514	0.543	0.531	337.97	356.24	1,624.56	1,624.81
MSU24154	0.549	0.530	337.97	358.78	1,624.55	1,624.73
MSU23588	0.545	0.530	342.86	361.33	1,624.49	1,624.68
MSU23706	0.551	0.531	350.32	350.32	1,624.53	1,624.53
MSU23208	0.547	0.531	330.64	351.11	1,624.41	1,624.74
MSU23902	0.543	0.528	342.86	363.92	1,624.42	1,624.68
MSU24145	0.548	0.529	330.64	351.07	1,624.36	1,624.66
MSU24338	0.542	0.530	340.41	361.35	1,624.56	1,624.73
MSU24207	0.548	0.530	333.05	356.30	1,624.63	1,624.93
MSU23693	0.542	0.529	340.41	358.78	1,624.47	1,624.73
MSU22101	0.541	0.529	333.05	333.05	1,624.39	1,624.39
MSU22641	0.541	0.529	342.86	366.34	1,624.00	1,624.31
MSU20855	0.545	0.529	337.97	358.75	1,624.37	1,624.67
MSU20908	0.542	0.528	337.97	358.71	1,624.27	1,624.58
MSU23707	0.550	0.532	337.97	356.20	1,624.43	1,624.70
MSU23677	0.546	0.530	340.41	363.97	1,624.56	1,624.81
MSU20748	0.541	0.530	345.39	363.94	1,624.51	1,624.73
MSU23213	0.541	0.530	342.86	361.33	1,624.56	1,624.69
MSU23680	0.543	0.529	337.97	358.74	1,624.64	1,624.66
MSU23245	0.542	0.529	337.97	358.81	1,624.56	1,624.80
MSU23149	0.541	0.532	342.86	363.91	1,624.45	1,624.66
MSU22082	0.541	0.531	340.41	361.36	1,624.56	1,624.75
MSU23696	0.551	0.531	335.47	358.71	1,624.25	1,624.59
MSU23678	0.543	0.529	337.97	358.72	1,624.34	1,624.60
MSU23591	0.545	0.530	337.97	358.74	1,624.42	1,624.65
MSU23915	0.547	0.529	333.05	353.68	1,624.55	1,624.80
MSU23248	0.541	0.530	342.86	342.86	1,624.45	1,624.45
MSU20837	0.545	0.530	342.86	363.84	1,624.31	1,624.52
MSU23725	0.545	0.532	337.97	337.97	1,624.53	1,624.53
MSU23709	0.548	0.530	330.64	353.64	1,624.43	1,624.70
MSU23717	0.543	0.531	337.97	356.23	1,624.56	1,624.77
MSU23942	0.545	0.531	345.39	363.96	1,624.56	1,624.79
MSU23198	0.545	0.530	337.97	358.73	1,624.40	1,624.62
MSU23229	0.547	0.530	337.97	361.35	1,624.54	1,624.73
MSU20736	0.547	0.531	337.97	361.29	1,624.25	1,624.58
MSU20745	0.544	0.530	340.41	340.41	1,624.40	1,624.40
