ID	Swage Depth Before	Swage Depth After	Tension Before	Tension After	Length Before	Length After
MSU24442	0.541	0.533	345.39	363.91	1624.54	1624.66
MSU24296	0.546	0.534	340.41	361.29	1624.36	1624.59
MSU24464	0.550	0.533	337.97	361.25	1624.36	1624.51
MSU24468	0.550	0.535	335.47	356.18	1624.32	1624.67
MSU23182	0.542	0.534	337.97	356.17	1624.56	1624.64
MSU24454	0.548	0.532	337.97	361.30	1624.36	1624.61
MSU24179	0.545	0.534	340.41	361.28	1624.40	1624.56
MSU24261	0.545	0.532	337.97	358.65	1624.31	1624.45
MSU24462	0.546	0.534	347.85	371.74	1624.50	1624.70
MSU24392	0.553	0.534	335.47	358.78	1624.49	1624.75
MSU24459	0.548	0.533	337.97	361.26	1624.34	1624.53
MSU24131	0.549	0.532	333.05	356.26	1624.72	1624.85
MSU24455	0.549	0.532	335.47	356.24	1624.52	1624.80
MSU24457	0.544	0.532	340.41	358.71	1624.42	1624.59
MSU24265	0.545	0.531	333.05	351.06	1624.45	1624.63
MSU24183	0.541	0.530	335.47	356.09	1624.29	1624.47
MSU24391	0.547	0.532	335.47	356.17	1624.46	1624.64
MSU23600	0.541	0.532	347.85	366.57	1624.71	1624.82
MSU24381	0.549	0.532	335.47	356.15	1624.38	1624.59
MSU24307	0.543	0.532	340.41	361.34	1624.48	1624.70
MSU24471	0.542	0.533	342.86	363.94	1624.61	1624.74
MSU23929	0.549	0.533	333.05	353.64	1624.60	1624.70
MSU23674	0.548	0.534	337.97	361.21	1624.21	1624.40
MSU24423	0.551	0.533	333.05	353.55	1624.24	1624.49
MSU24062	0.548	0.533	335.47	358.73	1624.38	1624.63
MSU24068	0.549	0.532	333.05	353.59	1624.44	1624.60
MSU24485	0.543	0.532	335.47	353.63	1624.50	1624.69
MSU24505	0.546	0.532	345.39	366.46	1624.40	1624.57
MSU24324	0.541	0.532	342.86	363.89	1624.47	1624.63
MSU24364	0.543	0.533	337.97	356.17	1624.51	1624.64
MSU24263	0.543	0.532	342.86	363.78	1624.18	1624.38
MSU24139	0.552	0.532	333.05	358.76	1624.43	1624.69
MSU24398	0.543	0.532	337.97	356.09	1624.27	1624.45
MSU24043	0.545	0.531	347.85	377.11	1624.61	1624.96
MSU24144	0.541	0.531	345.39	361.45	1624.79	1624.96
MSU23980	0.541	0.533	355.37	374.51	1624.90	1625.02
MSU24047	0.550	0.532	337.97	358.69	1624.31	1624.54
MSU24374	0.553	0.533	335.47	356.20	1624.63	1624.72
MSU24126	0.545	0.531	345.39	366.63	1624.76	1624.94
MSU24410	0.548	0.533	342.86	361.32	1624.47	1624.66
MSU24486	0.544	0.533	342.86	363.93	1624.53	1624.72
MSU24191	0.546	0.532	340.41	363.85	1624.33	1624.54
MSU24042	0.549	0.535	342.86	363.90	1624.35	1624.64
MSU24375	0.546	0.534	337.97	358.81	1624.49	1624.80
MSU24461	0.548	0.535	337.97	358.73	1624.39	1624.63
MSU24115	0.551	0.535	340.41	366.55	1624.46	1624.76
MSU24051	0.546	0.534	347.85	374.49	1624.75	1624.98
MSU24149	0.552	0.536	340.41	363.88	1624.39	1624.60
MSU24350	0.551	0.534	333.05	356.17	1624.32	1624.64
MSU24117	0.551	0.535	342.86	364.01	1624.69	1624.88
MSU24282	0.544	0.535	355.37	374.42	1624.67	1624.83
MSU24074	0.552	0.534	330.64	351.05	1624.38	1624.60
MSU24013	0.541	0.533	350.32	369.14	1624.58	1624.74
MSU24170	0.542	0.534	352.88	371.71	1624.52	1624.65
MSU24110	0.546	0.535	340.41	361.33	1624.48	1624.69
MSU24418	0.545	0.534	350.32	371.70	1624.48	1624.61
MSU24436	0.546	0.534	340.41	358.76	1624.52	1624.70
MSU24441	0.546	0.533	342.86	361.29	1624.72	1624.58
MSU24475	0.542	0.532	340.41	358.75	1624.54	1624.67
MSU24172	0.552	0.534	350.32	366.42	1624.33	1624.48
MSU24067	0.542	0.533	347.85	366.45	1624.43	1624.55
MSU24076	0.555	0.530	333.05	356.21	1624.50	1624.74
MSU24409	0.550	0.533	335.47	356.14	1624.38	1624.57
MSU24077	0.543	0.534	345.39	366.49	1624.46	1624.63
MSU23589	0.542	0.535	345.39	364.01	1624.68	1624.88
MSU24136	0.545	0.535	340.41	363.82	1624.26	1624.46
MSU24416	0.545	0.533	335.47	361.25	1624.21	1624.50
MSU24429	0.547	0.533	330.64	351.01	1624.30	1624.51
MSU24177	0.552	0.534	333.05	353.56	1624.29	1624.52
MSU24174	0.555	0.535	340.41	363.80	1624.25	1624.42
MSU24075	0.552	0.533	340.41	361.38	1624.59	1624.79
MSU24427	0.551	0.534	342.86	363.84	1624.40	1624.51
MSU24428	0.550	0.534	342.86	363.88	1624.42	1624.59
MSU24171	0.545	0.534	347.85	363.81	1624.33	1624.44
MSU23887	0.541	0.535	350.32	369.16	1624.71	1624.77
MSU24148	0.549	0.533	347.85	371.64	1624.16	1624.48
MSU24116	0.545	0.534	342.86	363.97	1624.68	1624.81
MSU24334	0.547	0.535	337.97	361.32	1624.47	1624.66
MSU24181	0.546	0.534	347.85	368.99	1624.21	1624.40
MSU24186	0.543	0.533	347.85	366.40	1624.26	1624.43
MSU24255	0.555	0.535	340.41	361.30	1624.42	1624.62
MSU24411	0.552	0.533	340.41	358.70	1624.44	1624.57
MSU24109	0.551	0.533	340.41	363.91	1624.41	1624.67
MSU24169	0.548	0.534	345.39	366.42	1624.32	1624.47
MSU24113	0.545	0.533	345.39	366.51	1624.51	1624.68
MSU24121	0.546	0.534	340.41	358.83	1624.61	1624.85
MSU24221	0.555	0.535	342.86	361.21	1624.29	1624.40
MSU22417	0.542	0.533	337.97	358.64	1624.28	1624.42
MSU23276	0.551	0.535	337.97	358.67	1624.28	1624.50
MSU20537	0.548	0.534	340.41	361.30	1624.48	1624.61
MSU24487	0.552	0.534	345.39	366.50	1624.43	1624.65
MSU22436	0.544	0.533	335.47	356.13	1624.39	1624.56
MSU24438	0.548	0.533	330.64	353.57	1624.35	1624.55
MSU23226	0.545	0.534	342.86	358.74	1624.53	1624.64
MSU24326	0.547	0.534	342.86	363.86	1624.38	1624.56
MSU24379	0.548	0.535	340.41	361.32	1624.48	1624.66
MSU24472	0.543	0.533	345.39	366.47	1624.36	1624.58
MSU23251	0.550	0.535	337.97	356.23	1624.62	1624.78
MSU24212	0.548	0.533	340.41	361.37	1624.62	1624.77
MSU23209	0.549	0.535	337.97	358.73	1624.48	1624.62
MSU24155	0.542	0.535	337.97	353.53	1624.26	1624.46
MSU24168	0.554	0.535	345.39	363.80	1624.27	1624.43
MSU24226	0.545	0.535	342.86	361.26	1624.37	1624.53
MSU24167	0.546	0.534	337.97	358.64	1624.23	1624.42
MSU20457	0.543	0.534	342.86	363.95	1624.59	1624.76
MSU24264	0.546	0.535	347.85	366.51	1624.51	1624.69
MSU23702	0.550	0.536	340.41	356.20	1624.60	1624.72
MSU23948	0.544	0.534	337.97	356.26	1624.67	1624.85
MSU23944	0.550	0.534	337.97	358.77	1624.48	1624.71
MSU23699	0.554	0.534	333.05	353.65	1624.40	1624.72
MSU23694	0.551	0.537	345.39	256.71	1624.43	1624.75
MSU23731	0.546	0.535	342.86	358.68	1624.42	1624.52
MSU23681	0.549	0.534	340.41	358.74	1624.54	1624.66
MSU23934	0.553	0.536	335.47	356.23	1624.61	1624.78
MSU23931	0.556	0.535	335.47	356.19	1624.47	1624.69
MSU22615	0.545	0.535	330.64	348.49	1624.41	1624.56
MSU23193	0.555	0.536	337.97	358.69	1624.31	1624.54
MSU22325	0.545	0.534	342.86	361.33	1624.50	1624.67
MSU23898	0.549	0.535	333.05	351.12	1624.58	1624.77
MSU23143	0.542	0.535	325.77	343.40	1624.33	1624.48
MSU20550	0.543	0.532	333.05	358.73	1624.30	1624.62
MSU22079	0.544	0.534	325.77	346.01	1624.46	1624.68
MSU20543	0.548	0.534	333.05	353.64	1624.46	1624.70
MSU24163	0.552	0.535	340.41	361.23	1624.21	1624.46
MSU20456	0.545	0.535	342.86	358.82	1624.63	1624.82
MSU20647	0.542	0.534	345.39	358.70	1624.42	1624.55
MSU22120	0.546	0.535	333.05	351.04	1624.33	1624.59
MSU22540	0.544	0.533	330.64	348.50	1624.41	1624.59
MSU22324	0.542	0.534	337.97	356.17	1624.53	1624.64
MSU23234	0.545	0.534	340.41	356.23	1624.65	1624.79
MSU22075	0.552	0.534	340.41	363.75	1624.06	1624.32
MSU23943	0.549	0.535	342.86	361.38	1624.50	1624.80
MSU24165	0.552	0.534	345.39	363.83	1624.30	1624.49
MSU20881	0.541	0.534	341.89	358.77	1624.57	1624.72
MSU22289	0.541	0.535	335.47	356.14	1624.38	1624.58
MSU20888	0.541	0.533	340.41	358.76	1624.51	1624.70
MSU22310	0.543	0.534	337.97	356.20	1624.56	1624.70
MSU20829	0.545	0.534	340.41	361.33	1624.47	1624.68
MSU22546	0.547	0.534	337.97	356.13	1624.34	1624.54
MSU23926	0.554	0.534	335.47	356.16	1624.42	1624.61
MSU22084	0.545	0.534	333.05	353.57	1624.28	1624.54
MSU22094	0.546	0.534	335.47	356.15	1624.39	1624.60
MSU20994	0.547	0.535	342.86	363.96	1624.51	1624.78
MSU20768	0.551	0.536	335.47	358.73	1624.33	1624.62
MSU24399	0.544	0.534	347.85	368.81	1624.51	1624.00
MSU24325	0.550	0.535	340.41	361.03	1624.37	1624.00
MSU24356	0.551	0.534	340.41	363.61	1624.36	1624.00
MSU24493	0.550	0.534	335.47	356.15	1624.32	1624.59
MSU22209	0.548	0.536	333.05	353.70	1624.60	1624.84
MSU20643	0.548	0.536	357.87	377.19	1624.97	1625.14
MSU20458	0.544	0.535	347.85	366.62	1624.72	1624.92
MSU22412	0.545	0.535	340.41	358.73	1624.43	1624.62
MSU22512	0.546	0.534	335.47	353.53	1624.32	1624.46
MSU22627	0.544	0.534	342.86	361.36	1624.56	1624.75
MSU22503	0.544	0.534	342.86	361.37	1624.61	1624.76
MSU22211	0.542	0.533	340.41	358.72	1624.45	1624.61
MSU22274	0.541	0.532	333.05	348.46	1624.37	1624.50
MSU22391	0.542	0.534	342.86	361.31	1624.46	1624.64
MSU20583	0.543	0.534	350.32	366.56	1624.61	1624.78
MSU22633	0.552	0.535	340.41	361.28	1624.27	1624.56
MSU22499	0.544	0.535	345.39	361.34	1624.55	1624.71
MSU22334	0.545	0.534	337.97	356.23	1624.57	1624.78
MSU22597	0.545	0.534	350.32	369.08	1624.42	1624.60
MSU22081	0.546	0.534	340.41	358.73	1624.39	1624.63
MSU21907	0.544	0.535	349.35	366.56	1624.58	1624.78
MSU22321	0.546	0.534	337.97	356.07	1624.28	1624.42
MSU22330	0.546	0.535	337.97	358.77	1624.56	1624.72
MSU22337	0.543	0.534	342.86	361.37	1624.60	1624.76
MSU24184	0.543	0.533	347.85	366.52	1624.47	1624.70
MSU24470	0.543	0.533	345.39	363.90	1624.48	1624.65
MSU23243	0.542	0.534	335.47	351.08	1624.50	1624.68
MSU24287	0.544	0.533	335.47	353.52	1624.26	1624.42
MSU20424	0.541	0.533	357.87	377.13	1624.85	1624.99
MSU23946	0.544	0.533	347.85	363.98	1624.28	1624.82
MSU23607	0.543	0.534	340.41	358.77	1624.56	1624.71
MSU20563	0.542	0.533	347.85	366.60	1624.74	1624.87
MSU23900	0.543	0.533	337.97	356.16	1624.56	1624.63
MSU24256	0.543	0.533	342.86	361.28	1624.35	1624.56
MSU22611	0.541	0.533	355.37	374.35	1624.53	1624.68
MSU23895	0.541	0.532	342.86	358.82	1624.24	1624.82
MSU23873	0.542	0.534	355.37	371.78	1624.72	1624.80
MSU23874	0.542	0.534	337.97	353.69	1624.68	1624.82
MSU23188	0.543	0.534	342.86	361.34	1624.53	1624.70
MSU22124	0.542	0.534	325.77	343.44	1624.34	1624.56
MSU24124	0.541	0.533	342.86	358.86	1624.84	1624.92
MSU23947	0.547	0.533	340.41	358.82	1624.62	1624.84
MSU23274	0.542	0.534	345.39	361.37	1624.57	1624.76
MSU23901	0.546	0.535	342.86	363.91	1624.50	1624.67
MSU23950	0.542	0.534	342.86	358.79	1624.65	1624.76
MSU23205	0.542	0.534	340.41	356.25	1624.65	1624.83
MSU23275	0.542	0.543	345.39	361.35	1624.56	1624.72
MSU23184	0.543	0.535	340.41	358.78	1624.55	1624.73
MSU21985	0.546	0.532	340.41	358.84	1624.67	1624.87
MSU22430	0.542	0.533	342.86	361.20	1624.18	1624.39
MSU22434	0.541	0.533	340.41	356.08	1624.29	1624.43
MSU21106	0.542	0.533	347.85	361.37	1624.56	1624.78
MSU20977	0.547	0.534	337.97	358.77	1624.46	1624.71
MSU20950	0.545	0.534	334.88	351.04	1624.35	1624.58
MSU22103	0.551	0.535	337.97	363.80	1624.14	1624.42
MSU22505	0.546	0.534	342.86	361.37	1624.60	1624.76
MSU22106	0.543	0.531	340.41	358.78	1624.51	1624.73
MSU22438	0.541	0.533	342.86	361.29	1624.42	1624.58
MSU22085	0.546	0.534	335.47	353.60	1624.41	1624.62
MSU22501	0.546	0.534	342.86	361.38	1624.60	1624.79
MSU22545	0.542	0.535	341.89	358.71	1624.43	1624.59
MSU22542	0.549	0.535	333.05	353.61	1624.40	1624.63
MSU22500	0.543	0.534	334.51	350.98	1624.26	1624.46
MSU22237	0.545	0.533	341.89	361.32	1624.43	1624.65
MSU22141	0.543	0.533	337.97	358.66	1624.29	1624.46
MSU22138	0.546	0.532	333.05	353.66	1624.52	1624.76
MSU22506	0.545	0.535	333.05	348.30	1623.98	1624.13
MSU22132	0.541	0.534	342.86	361.34	1624.50	1624.70
MSU20980	0.543	0.533	345.39	361.31	1624.54	1624.64
MSU22208	0.553	0.536	337.97	358.76	1624.47	1624.69
MSU20756	0.543	0.533	337.97	358.82	1624.57	1624.82
MSU20969	0.547	0.534	340.41	358.84	1624.67	1624.87
MSU22064	0.545	0.534	342.86	358.71	1624.39	1624.58
MSU22184	0.547	0.535	335.47	353.57	1624.37	1624.54
MSU20744	0.543	0.533	340.41	361.27	1624.31	1624.54
MSU20869	0.541	0.534	347.85	361.39	1624.63	1624.81
MSU23148	0.542	0.534	340.41	358.70	1624.40	1624.57
MSU23136	0.544	0.535	345.39	361.26	1624.31	1624.53
MSU20726	0.543	0.535	345.39	363.93	1624.53	1624.71
MSU22425	0.541	0.534	337.97	353.56	1624.35	1624.53
MSU22646	0.545	0.535	337.97	356.12	1624.35	1624.53
MSU21248	0.541	0.534	350.32	366.67	1624.90	1625.03
MSU18993	0.541	0.534	356.24	361.46	1624.82	1624.98
MSU22645	0.548	0.533	342.86	363.83	1624.23	1624.50
MSU22586	0.547	0.535	345.39	363.89	1624.39	1624.63
MSU20636	0.544	0.534	347.85	366.51	1624.49	1624.69
MSU20775	0.546	0.536	340.41	361.30	1624.40	1624.61
MSU20753	0.550	0.535	340.41	358.76	1624.45	1624.70
MSU22642	0.542	0.534	342.86	356.14	1624.42	1624.58
MSU23147	0.544	0.534	340.41	356.16	1624.38	1624.62
MSU23212	0.543	0.533	333.05	351.20	1624.80	1624.96
MSU22619	0.546	0.534	340.41	358.71	1624.34	1624.58
MSU20489	0.541	0.534	342.86	358.84	1624.67	1624.87
MSU22311	0.543	0.534	340.41	358.79	1624.68	1624.77
MSU20794	0.548	0.535	342.86	363.88	1624.35	1624.60
MSU20492	0.543	0.534	340.41	361.39	1624.59	1624.81
MSU20738	0.541	0.532	345.39	363.84	1624.29	1624.51
MSU22593	0.542	0.533	347.85	366.41	1624.31	1624.45
MSU23169	0.546	0.535	340.41	358.79	1624.59	1624.77
MSU20857	0.548	0.536	335.47	353.59	1624.39	1624.60
MSU20734	0.552	0.533	340.41	361.24	1624.18	1624.47
MSU22618	0.543	0.535	347.85	363.95	1624.34	1624.75
MSU20882	0.548	0.536	335.47	358.70	1624.31	1624.55
MSU20553	0.544	0.534	342.86	358.79	1624.59	1624.77
MSU23130	0.543	0.535	345.39	361.25	1624.36	1624.51
MSU22566	0.542	0.534	342.86	358.78	1624.58	1624.74
MSU20487	0.544	0.535	342.86	363.97	1624.60	1624.81
MSU20866	0.541	0.533	345.39	363.87	1624.39	1624.57
MSU20746	0.543	0.533	337.97	356.06	1624.16	1624.40
MSU20552	0.545	0.534	342.86	363.92	1624.48	1624.68
MSU20546	0.546	0.534	334.88	356.18	1624.48	1624.66
MSU20567	0.546	0.534	337.97	358.75	1624.42	1624.67
MSU20797	0.545	0.534	340.41	361.34	1624.47	1624.71
MSU20542	0.547	0.533	345.39	366.47	1624.35	1624.60
MSU20634	0.545	0.533	340.41	361.27	1624.31	1624.54
MSU20875	0.551	0.535	337.97	361.29	1624.35	1624.59
MSU22482	0.546	0.535	335.47	353.65	1624.55	1624.74
MSU20522	0.543	0.534	342.86	363.89	1624.38	1624.63
MSU22654	0.543	0.534	342.86	342.86	1624.55	1624.55
MSU20077	0.542	0.534	352.88	369.23	1624.74	1624.93
MSU20551	0.547	0.534	342.26	358.84	1624.66	1624.88
MSU20833	0.548	0.535	340.41	361.23	1624.18	1624.45
MSU22588	0.541	0.534	337.97	353.61	1624.48	1624.63
MSU20898	0.550	0.535	340.41	358.63	1624.18	1624.41
MSU22565	0.546	0.534	341.89	361.33	1624.48	1624.67
MSU20870	0.552	0.534	335.47	358.70	1624.28	1624.57
MSU22354	0.551	0.535	333.05	353.65	1624.50	1624.74
MSU20782	0.543	0.534	347.85	361.38	1624.64	1624.79
MSU20812	0.544	0.533	347.85	366.53	1624.45	1624.73
MSU22323	0.548	0.533	335.47	356.18	1624.42	1624.67
MSU21946	0.541	0.533	347.85	369.17	1624.66	1624.80
MSU22538	0.543	0.534	342.26	361.24	1624.25	1624.47
MSU22402	0.541	0.534	330.64	348.30	1623.92	1624.13
MSU22253	0.541	0.533	340.41	358.73	1624.39	1624.62
MSU22439	0.545	0.534	337.97	356.21	1624.54	1624.74
MSU22029	0.541	0.532	345.39	366.48	1624.34	1624.62
MSU22115	0.545	0.533	330.64	350.98	1624.20	1624.46
MSU20894	0.544	0.535	347.85	366.57	1624.59	1624.82
