MSU24265	1/23/2023	0.545
MSU24183	1/24/2023	0.541
MSU24391	1/25/2023	0.547
MSU23600	1/11/2023	0.541
MSU24381	1/30/2023	0.549
MSU24307	1/24/2023	0.543
MSU24471	1/30/2023	0.542
MSU23929	1/18/2023	0.549
MSU23674	1/30/2023	0.548
MSU24423	1/28/2023	0.551
MSU24062	2/1/2023	0.548
MSU24068	2/1/2023	0.549
MSU24485	1/30/2023	0.543
MSU24505	1/30/2023	0.546
MSU24324	1/27/2023	0.541
MSU24364	1/30/2023	0.543
MSU24263	1/23/2023	0.543
MSU24139	1/31/2023	0.552
MSU24398	1/31/2023	0.543
MSU24043	2/2/2023	0.545
MSU24144	1/25/2023	0.541
MSU23980	2/3/2023	0.541
MSU24047	2/2/2023	0.550
MSU24374	1/27/2023	0.553
MSU24126	1/31/2023	0.545
MSU24410	1/31/2023	0.548
MSU24486	1/30/2023	0.544
MSU24191	1/23/2023	0.546
MSU24042	2/2/2023	0.549
MSU24375	1/27/2023	0.546
MSU24461	1/27/2023	0.548
MSU24115	1/31/2023	0.551
MSU24051	2/2/2023	0.546
MSU24149	1/31/2023	0.552
MSU24350	1/31/2023	0.551
MSU24117	1/31/2023	0.551
MSU24282	1/23/2023	0.544
MSU24074	2/1/2023	0.552
MSU24013	2/2/2023	0.541
MSU24170	1/31/2023	0.542
MSU24110	2/1/2023	0.546
MSU24418	1/31/2023	0.545
MSU24436	1/28/2023	0.546
MSU24441	1/28/2023	0.546
MSU24475	1/30/2023	0.542
MSU24172	1/31/2023	0.552
MSU24067	2/1/2023	0.542
MSU24076	2/1/2023	0.555
MSU24409	1/31/2023	0.550
MSU24077	2/1/2023	0.543
MSU23589	1/13/2023	0.542
MSU24136	1/25/2023	0.545
MSU24416	1/30/2023	0.545
MSU24429	1/28/2023	0.547
MSU24177	1/31/2023	0.552
MSU24174	1/31/2023	0.555
MSU24075	2/1/2023	0.552
MSU24427	1/30/2023	0.551
MSU24428	1/30/2023	0.550
MSU24171	1/31/2023	0.545
MSU23887	2/6/2023	0.541
MSU24148	1/31/2023	0.549
MSU24116	1/31/2023	0.545
MSU24334	1/25/2023	0.547
MSU24181	1/24/2023	0.546
MSU24186	1/23/2023	0.543
MSU24255	1/23/2023	0.555
MSU24411	1/31/2023	0.552
MSU24109	2/1/2023	0.551
MSU24169	1/31/2023	0.548
MSU24113	1/31/2023	0.545
MSU24121	1/31/2023	0.546
MSU24221	1/20/2023	0.555
MSU22417	11/17/2022	0.542
MSU23276	1/19/2023	0.551
MSU20537	1/4/2023	0.548
MSU24487	1/30/2023	0.552
MSU22436	11/18/2022	0.544
MSU24438	1/28/2023	0.548
MSU23226	1/9/2023	0.545
MSU24326	1/27/2023	0.547
MSU24379	1/27/2023	0.548
MSU24472	1/27/2023	0.543
MSU23251	1/13/2023	0.550
MSU24212	1/20/2023	0.548
MSU23209	1/19/2023	0.549
MSU24155	1/20/2023	0.542
MSU24168	1/20/2023	0.554
MSU24226	1/20/2023	0.545
MSU24167	1/20/2023	0.546
MSU20457	1/9/2023	0.543
MSU24264	1/23/2023	0.546
MSU23702	1/17/2023	0.550
MSU23948	1/18/2023	0.544
MSU23944	1/18/2023	0.550
MSU23699	1/17/2023	0.554
MSU23694	1/17/2023	0.551
MSU23731	1/13/2023	0.546
MSU23681	1/17/2023	0.549
MSU23934	1/18/2023	0.553
MSU23931	1/18/2023	0.556
MSU22615	12/1/2022	0.545
MSU23193	1/17/2023	0.555
MSU22325	11/29/2022	0.545
MSU23898	1/18/2023	0.549
MSU23143	12/9/2022	0.542
MSU20550	1/3/2023	0.543
MSU22079	11/30/2022	0.544
MSU20543	12/30/2022	0.548
MSU24163	1/20/2023	0.552
MSU20456	1/9/2023	0.545
MSU20647	12/27/2022	0.542
MSU22120	11/10/2022	0.546
MSU22540	11/21/2022	0.544
MSU22324	11/29/2022	0.542
MSU23234	1/13/2023	0.545
MSU22075	11/29/2022	0.552
MSU23943	1/18/2023	0.549
MSU24165	1/20/2023	0.552
MSU20881	1/20/2023	0.541
MSU22289	11/15/2022	0.541
MSU20888	12/2/2022	0.541
MSU22310	11/14/2022	0.543
MSU20829	12/15/2022	0.545
MSU22546	11/21/2022	0.547
MSU23926	1/18/2023	0.554
MSU22084	11/16/2022	0.545
MSU22094	11/29/2022	0.546
MSU20994	11/7/2022	0.547
MSU20768	12/21/2022	0.551
MSU24399	1/30/2023	0.544
MSU24325	1/27/2023	0.550
MSU24356	1/30/2023	0.551
MSU24493	1/30/2023	0.550
MSU22209	11/28/2022	0.548
MSU20643	12/27/2022	0.548
MSU20458	1/9/2023	0.544
MSU22412	11/17/2022	0.545
MSU22512	11/21/2022	0.546
MSU22627	12/6/2022	0.544
MSU22503	11/21/2022	0.544
MSU22211	11/28/2022	0.542
MSU22274	11/15/2022	0.541
MSU22391	11/17/2022	0.542
MSU20583	10/19/2022	0.543
MSU22633	12/6/2022	0.552
MSU22499	11/21/2022	0.544
MSU22334	11/16/2022	0.545
MSU22597	12/1/2022	0.545
