Operator		Date		tubeID		Length	Density	Frequency Tension	TError	   SHIPMENT   T(db)[g]				         MSU 1st T  MSU T[g]
K.Ream  	13-01-2023 15:15:40	MSU23137	1624.44	38.50	92.67	356.08		1.068012  2023-01-05  345.385  DATA/tension_20230113_162017.log	 2022/12/09  355.45
K.Ream  	31-01-2023 10:41:34	MSU23149	1624.45	38.50	92.33	353.528451	1.063460  2023-01-20  342.855  DATA/tension_20230131_104907.log	 2022/12/09  351.72
K.Ream  	01-02-2023 09:33:16	MSU23151	1624.27	38.50	92.33	353.450109	1.063224  2023-01-26  342.855  DATA/tension_20230201_101559.log	 2022/12/09  344.31
K.Ream  	31-01-2023 09:41:48	MSU23156	1624.68	38.50	93.67	363.915408	1.082070  2023-01-20  352.879  DATA/tension_20230131_104907.log	 2022/12/09  359.20
Saarthak	15-02-2023 12:40:55	MSU23168	1624.72	38.50	91.33	346.027261	1.050158  2023-01-20  335.469  DATA/tension_20230215_135738.log	 2022/12/09  344.31
Saarthak	15-02-2023 12:20:21	MSU23189	1624.25	38.50	92.67	355.997935	1.067762  2023-01-26  345.385  DATA/tension_20230215_135738.log	 2023/01/17  348.00
Saarthak	15-02-2023 12:25:29	MSU23197	1624.60	38.50	91.00	343.455383	1.045466  2023-01-26  333.049  DATA/tension_20230215_135738.log	 2023/01/10  340.64
K.Ream  	31-01-2023 09:48:28	MSU23198	1624.40	38.50	91.67	348.420328	1.054287  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/10  344.31
K.Ream  	31-01-2023 09:34:07	MSU23199	1624.47	38.50	92.33	353.537157	1.063486  2023-01-20  342.855  DATA/tension_20230131_104907.log	 2023/01/10  351.72
K.Ream  	31-01-2023 09:53:39	MSU23206	1624.66	38.50	92.00	351.071258	1.059176  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/10  344.31
K.Ream  	31-01-2023 10:14:05	MSU23207	1624.50	38.50	91.33	345.933557	1.049874  2023-01-20  335.469  DATA/tension_20230131_104907.log	 2023/01/10  340.64
Saarthak	15-02-2023 13:44:43	MSU23208	1624.41	38.50	90.67	340.864091	1.040694  2023-01-20  330.638  DATA/tension_20230215_135738.log	 2023/01/10  344.31
K.Ream  	31-01-2023 09:39:41	MSU23210	1624.39	38.50	92.00	350.954580	1.058824  2023-01-20  340.409  DATA/tension_20230131_104907.log	 2023/01/10  348.00
K.Ream  	31-01-2023 09:40:15	MSU23211	1624.53	38.50	91.67	348.476098	1.054456  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/10  340.64
K.Ream  	31-01-2023 10:23:42	MSU23213	1624.56	38.50	92.33	353.576331	1.063604  2023-01-20  342.855  DATA/tension_20230131_104907.log	 2023/01/10  348.00
K.Ream  	31-01-2023 09:50:50	MSU23222	1624.62	38.50	93.67	363.888530	1.081990  2023-01-20  352.879  DATA/tension_20230131_104907.log	 2023/01/09  359.20
K.Ream  	31-01-2023 09:39:11	MSU23223	1624.72	38.50	93.00	358.771218	1.072953  2023-01-20  347.849  DATA/tension_20230131_104907.log	 2023/01/09  355.45
Saarthak	15-02-2023 12:22:52	MSU23224	1624.41	38.50	92.00	350.963222	1.058850  2023-01-26  340.409  DATA/tension_20230215_135738.log	 2023/01/09  348.00
K.Ream  	31-01-2023 10:10:48	MSU23228	1624.64	38.50	92.33	353.611155	1.063709  2023-01-20  342.855  DATA/tension_20230131_104907.log	 2023/01/09  351.72
K.Ream  	31-01-2023 09:50:20	MSU23229	1624.54	38.50	91.67	348.480388	1.054469  2023-01-20  337.971  DATA/tension_20230131_104907.log	 2023/01/10  344.31
