Daniel,8,MSU20832,359.20,95.50,2022:12:14,2.00,2.60E-08
Daniel,8,MSU22360,351.72,94.50,2022:11:23,2.00,3.49E-08
Daniel,8,MSU23172,362.97,96.00,2022:12:09,2.00,2.93E-08
Daniel,8,MSU22488,355.45,95.00,2022:11:22,2.00,2.65E-08
Daniel,8,MSU22453,344.31,93.50,2022:11:23,0.00,1.84E-08
Daniel,8,MSU20823,348.00,94.00,2022:12:15,2.00,1.42E-08
Daniel,8,MSU20757,348.00,94.00,2022:12:15,2.00,7.50E-09
Daniel,8,MSU22018,355.45,95.00,2022:12:02,2.00,1.57E-08
Daniel,8,MSU22649,348.00,94.00,2022:12:14,1.00,2.19E-08
Daniel,9,MSU23125,362.97,96.00,2022:12:12,2.00,2.46E-08
Daniel,9,MSU21124,355.45,95.00,2022:11:02,2.00,1.40E-08
Daniel,9,MSU22594,348.00,94.00,2022:12:01,2.00,2.13E-08
Daniel,9,MSU22623,359.20,95.50,2022:12:02,2.00,1.38E-08
Daniel,9,MSU22475,355.45,95.00,2022:11:22,2.00,2.82E-08
Daniel,9,MSU20888,348.00,94.00,2022:12:02,2.00,2.15E-08
Daniel,9,MSU20751,348.00,94.00,2022:12:21,2.00,4.95E-09
Daniel,9,MSU22658,359.20,95.50,2022:12:12,2.00,2.00E-08
Daniel,9,MSU22079,344.31,93.50,2022:11:30,2.00,9.16E-09
Daniel,9,MSU22660,355.45,95.00,2022:12:12,1.00,2.51E-08
Daniel,1,MSU23144,359.20,95.50,2022:12:09,2.00,1.79E-08
Daniel,1,MSU22598,355.45,95.00,2022:12:01,1.00,1.44E-08
Daniel,1,MSU20672,355.45,95.00,2022:10:21,2.00,1.71E-08
Daniel,1,MSU22459,355.45,95.00,2022:11:23,2.00,2.75E-08
Daniel,1,MSU22591,359.20,95.50,2022:12:01,2.00,1.39E-08
Daniel,1,MSU22641,348.00,94.00,2022:12:14,2.00,1.45E-08
Daniel,1,MSU20834,348.00,94.00,2022:12:14,2.00,1.82E-08
Daniel,1,MSU21928,348.00,94.00,2022:11:04,1.00,1.04E-08
Daniel,1,MSU23157,355.45,95.00,2022:12:09,1.00,1.48E-08
Daniel,1,MSU22483,355.45,95.00,2022:11:22,2.00,2.01E-08
Daniel,1,MSU23162,351.72,94.50,2022:12:09,2.00,1.29E-08
Daniel,1,MSU21229,340.64,93.00,2022:10:31,2.00,1.69E-07
Daniel,1,MSU21129,351.72,94.50,2022:11:01,2.00,1.17E-08
Daniel,1,MSU22289,344.31,93.50,2022:11:15,2.00,1.89E-08
Daniel,1,MSU21910,359.20,95.50,2022:11:02,1.00,1.26E-08
Daniel,1,MSU23158,359.20,95.50,2022:12:09,0.00,2.02E-08
Daniel,1,MSU22578,336.99,92.50,2022:11:30,2.00,7.29E-09
Daniel,1,MSU21125,344.31,93.50,2022:11:02,0.00,1.38E-08
Daniel,1,MSU21038,359.20,95.50,2022:12:21,0.00,1.43E-08
Daniel,1,MSU22596,355.45,95.00,2022:12:01,2.00,1.39E-08
Daniel,2,MSU22491,351.72,94.50,2022:11:22,2.00,1.70E-08
Daniel,2,MSU22518,348.00,94.00,2022:11:21,2.00,1.43E-08
Daniel,2,MSU22242,340.64,93.00,2022:11:14,2.00,5.46E-09
Daniel,2,MSU22050,336.99,92.50,2022:11:30,2.00,1.28E-08
